id,titulo,data_abertura,data_encerramento,responsvel,setor_inicial,sla,prioridade_horas,prioridade,status,categoria,canal_de_atendimento,tempo_resolucao_horas,status_sla
32805,DESLIGAMENTO - MARIA FRANCISCA ALVES DOS SANTOS,2024-01-02 08:36:00,2024-01-17 13:15:14,João Luiz,01 - AGÊNCIA SP,Fora do prazo,24,3 - Normal - 24 horas  úteis,Finalizado sem sucesso,CAPITAL - DESLIGAMENTO,E-mail,364.65,Atrasada
32806,CRÉDITO CONSIGNADO,2024-01-02 09:12:00,2024-01-03 17:18:43,Fabimael Silva,01 - AGÊNCIA SP,Dentro do prazo estimado,24,3 - Normal - 24 horas  úteis,Finalizado com sucesso,OPERAÇÃO DE CRÉDITO - CONSIGNADO,E-mail,32.11,Atrasada
32807,AMORTIZAÇÃO DE PREJUÍZO,2024-01-02 09:19:00,2024-01-02 09:24:00,Paloma Alves,COBRANÇA ADMINISTRATIVA,Dentro do prazo estimado,8,1 - Alta - 8 horas  úteis,Cancelado pelo solicitante,OUTROS,Interno,0.08,Dentro do Prazo
32808,AMORTIZAÇÃO DE PREJUÍZO J2,2024-01-02 09:32:00,2024-01-03 01:32:00,Paloma Alves,COBRANÇA ADMINISTRATIVA,Fora do prazo,8,1 - Alta - 8 horas  úteis,Finalizado com sucesso,OUTROS,Interno,16.0,Atrasada
32809,INSTALAÇÃO DE SOFTWARE,2024-01-02 10:05:00,2024-01-02 11:45:00,Carlos Mendes,SUPORTE TÉCNICO,Dentro do prazo estimado,4,2 - Urgente - 4 horas  úteis,Finalizado com sucesso,INFRAESTRUTURA - SOFTWARE,Interno,1.67,Dentro do Prazo
32810,RESET DE SENHA,2024-01-02 10:22:00,2024-01-02 10:55:33,Ana Paula,SUPORTE TÉCNICO,Dentro do prazo estimado,4,2 - Urgente - 4 horas  úteis,Não Informado,ACESSO E SEGURANÇA,Telefone,0.56,Dentro do Prazo
32811,CONFIGURAÇÃO DE IMPRESSORA,2024-01-03 08:00:00,2024-01-03 09:10:00,Carlos Mendes,SUPORTE TÉCNICO,Dentro do prazo estimado,8,1 - Alta - 8 horas  úteis,Finalizado com sucesso,INFRAESTRUTURA - HARDWARE,Interno,1.17,Dentro do Prazo
32812,TRANSFERÊNCIA BANCÁRIA INDEVIDA,2024-01-03 14:30:00,2024-01-05 14:30:00,João Luiz,FINANCEIRO,Fora do prazo,24,3 - Normal - 24 horas  úteis,Em andamento,OPERAÇÃO FINANCEIRA,E-mail,48.0,Atrasada
32813,EMISSÃO DE BOLETO,2024-01-04 09:00:00,2024-01-04 09:45:00,Patricia Pontes,FINANCEIRO,Dentro do prazo estimado,8,1 - Alta - 8 horas  úteis,Finalizado com sucesso,COBRANÇA - BOLETO,Portal,0.75,Dentro do Prazo
32814,BLOQUEIO DE CARTÃO,2024-01-04 11:00:00,2024-01-04 11:12:05,Ana Paula,01 - AGÊNCIA SP,Dentro do prazo estimado,1,4 - Cr tico - 1 hora  til,Finalizado com sucesso,CARTÃO - BLOQUEIO,Telefone,0.2,Dentro do Prazo
32815,CONTRATAÇÃO DE SEGURO,2024-01-05 10:00:00,2024-01-07 16:00:00,Fabimael Silva,01 - AGÊNCIA SP,Fora do prazo,24,3 - Normal - 24 horas  úteis,Finalizado com sucesso,SEGUROS - CONTRATAÇÃO,E-mail,54.0,Atrasada
32816,ERRO NO INTERNET BANKING,2024-01-05 08:15:00,2024-01-06 00:15:00,Carlos Mendes,SUPORTE TÉCNICO,Fora do prazo,8,1 - Alta - 8 horas  úteis,Não Informado,ACESSO E SEGURANÇA,Portal,16.0,Atrasada
32817,CONSULTA DE SALDO,2024-01-05 09:30:00,2024-01-05 09:35:00,Patricia Pontes,FINANCEIRO,Dentro do prazo estimado,1,4 - Cr tico - 1 hora  til,Finalizado com sucesso,INFORMAÇÕES GERAIS,Portal,0.08,Dentro do Prazo
32818,ATUALIZAÇÃO CADASTRAL,2024-01-06 14:00:00,2024-01-06 16:30:00,João Luiz,01 - AGÊNCIA SP,Dentro do prazo estimado,8,1 - Alta - 8 horas  úteis,Finalizado com sucesso,CADASTRO - ATUALIZAÇÃO,Interno,2.5,Dentro do Prazo
32819,FINANCIAMENTO RURAL,2024-01-06 09:00:00,2024-01-08 09:00:00,Fabimael Silva,FINANCEIRO,Fora do prazo,24,3 - Normal - 24 horas  úteis,Em andamento,OPERAÇÃO DE CRÉDITO - RURAL,E-mail,48.0,Atrasada
